English,Chinese
returned,回
harder,更难
fbi,联邦调查局
block,堵塞
showing,展示
fancy,想要
chef,厨师
contract,合同
dig,挖
chest,胸部
good-bye,再见
drinks,饮料
dave,戴夫
buried,被埋葬
brian,布莱恩
trade,贸易
journey,旅行
stomach,胃
changes,变化
details,细节
thoughts,想法
divorce,离婚
funeral,葬礼
maria,玛丽亚
football,足球
reality,现实
theory,理论
gosh,天哪
ruined,毁了
gate,门
william,威廉
spread,传播
japanese,日本人
sudden,突然
coat,外套
sooner,更早
cheese,奶酪
larry,拉里
spring,春天
page,页
ears,耳朵
simon,西蒙
castle,城堡
hidden,隐
storm,风暴
personally,亲自
artist,艺术家
hill,爬坡道
exciting,令人兴奋
permission,允许
jerry,杰瑞
expensive,昂贵的
tickets,门票
forest,森林
barely,仅仅
eggs,蛋
goin,进去
regret,后悔
lesson,课
lover,情人
bread,面包
andy,安迪
subject,主题
legal,合法的
growing,生长
ill,患病的
jason,杰森
mood,情绪
owner,所有者
caused,引起
beeping,哔哔声
points,点
dating,约会
loss,损失
secretary,秘书
revenge,复仇
santa,圣诞老人
likely,可能
rent,租
connection,联系
assistant,助手
reasons,原因
yelling,大喊
painting,绘画
trees,树木
doctors,医生
rush,匆忙
foreign,外国的
rough,粗糙的
murderer,凶手
century,世纪
nights,夜晚
pair,一对
runs,运行
pocket,口袋
matt,马特
bike,自行车
obvious,明显的
ate,吃
grew,成长
professional,专业的
tim,蒂姆
goodness,天哪
parts,部分
alan,艾伦
university,大学
square,正方形
grandfather,祖父
europe,欧洲
genius,天才
cases,案例
ruin,废墟
winter,冬天
tongue,舌头
memories,回忆
da,da
buying,购买
cancer,癌症
clock,钟
ocean,海洋
dna,脱氧核糖核酸
liar,说谎者
tour,旅游
thief,贼
bleep,爆裂
lisa,丽莎
rights,权利
including,包括
competition,竞赛
smith,史密斯
planned,计划
emily,艾米丽
boring,无聊的
victims,受害者
mentioned,提及
bones,骨头
plant,植物
bless,保佑
warning,警告
knocking,敲门
re,关于
crash,碰撞
bedroom,卧室
lower,降低
silver,银
madame,夫人
defense,防御
results,结果
toilet,洗手间
event,事件
complicated,复杂的
shape,形状
priest,牧师
royal,皇家
cheap,便宜的
romantic,浪漫的
downstairs,楼下
invite,邀请
fortune,财富
tears,眼泪
avoid,避免
reached,到达
higher,更高
familiar,熟悉的
telephone,电话
burning,燃烧
filled,填充
kelly,凯利
alice,爱丽丝
airport,飞机场
jobs,工作
grown,长大的
walter,沃尔特
rachel,瑞秋
giant,巨大的
insurance,保险
woods,树木
scare,吓
pleased,很高兴
period,时期
political,政治的
player,球员
stops,停下来
secrets,秘密
laura,劳拉
repeat,重复
photos,相片
finds,找到
statement,陈述
suck,吮吸
younger,更年轻
china,中国
humans,人类
delicious,可口的
particular,特别的
proper,恰当的
rome,罗马
belongs,属于
attacked,受到攻击
bath,洗澡
hired,雇用
site,地点
knowledge,知识
led,引领
guests,客人
celebrate,庆祝
map,地图
horn,喇叭
eventually,最终
pity,遗憾
powers,权力
ashamed,羞愧
assume,认为
glasses,眼镜
rise,上升
fixed,固定的
request,要求
officers,长官
pounds,磅
data,数据
carefully,小心
per,每
depends,依靠
jury,陪审团
waited,等待
positive,积极的
attorney,律师
direction,方向
families,家庭
clock,钟
doin,做
forces,军队
location,地点
walls,墙
useless,无用
grant,授予
saving,保存
speaks,说话
fought,战斗
meal,一顿饭
deliver,递送
answers,答案
changing,更改
temple,寺庙
scary,可怕的
millions,百万
offered,提供
regular,常规的
carrying,携带
official,官方的
jacket,夹克
switch,转变
grave,坟
chase,追赶
role,角色
odd,奇怪的
sexy,性感
faces,面孔
closes,关闭
badly,糟糕
tall,高的
confused,使困惑
affair,事务
television,电视
shock,震惊
raised,上调
panting,气喘吁吁
pizza,比萨
image,图像
clears,清除
golden,金的
patients,患者
watched,看着
committed,坚定的
sexual,性
suffer,遭受
arthur,亚瑟
wherever,无论何处
plate,盘子
appear,出现
chocolate,巧克力
clever,聪明的
hm,嗯
mercy,怜悯
shots,镜头
lucy,露西
dealing,交易
trap,陷阱
charges,指控
phil,菲尔
bang,砰
poison,毒
butt,屁股
drove,开车
yourselves,你自己
headed,头
babies,婴儿
yellow,黄色的
soup,汤
mystery,神秘
picking,采摘
sat,坐着
wound,伤口
traffic,交通
courage,勇气
hunt,打猎
indian,印度人
rat,鼠
terms,术语
italian,意大利人
emma,艾玛
checking,检查
disease,疾病
managed,管理
winner,优胜者
council,理事会
appointment,预约
monday,周一
crack,裂缝
threat,威胁
jenny,珍妮
physical,身体的
nation,国家
source,来源
chose,选择
healthy,健康
carl,卡尔
victory,胜利
rick,里克
stood,站了起来
kicked,踢了
annie,安妮
disgusting,令人作呕
palace,宫
below,以下
shopping,购物
neighborhood,邻里
march,行进
lips,嘴唇
midnight,午夜
piss,小便
advantage,优势
pure,纯的
india,印度
aside,在旁边
jerk,混蛋
mail,邮件
dawn,黎明
effect,影响
spell,拼写
freak,怪物
wood,木头
screwed,拧
enemies,敌人
gary,加里
awake,苏醒
chuckling,笑
vacation,假期
violence,暴力
leo,狮子座
grandmother,祖母
luke,卢克
firm,公司
prime,主要的
heh,呵呵
touched,触摸
talent,天赋
whore,妓女
piano,钢琴
license,执照
cooking,烹饪
honour,荣誉
concern,忧虑
moves,移动
available,可用的
factory,工厂
gods,神
value,价值
central,中央
union,联盟
mirror,镜子
studio,工作室
media,媒体
taxi,出租车
dies,死亡
iron,铁
hearts,心
desire,欲望
rob,抢
claire,克莱尔
fred,弗雷德
songs,歌曲
washington,华盛顿
monkey,猴
pride,自豪
pills,药丸
miracle,奇迹
swim,游泳
burned,被烧毁
smells,闻起来
joking,开玩笑
christian,基督教
bleeding,流血的
hook,钩
beating,跳动
protection,保护
treatment,治疗
ear,耳朵
carter,卡特
metal,金属
disappear,消失
grateful,感激的
extremely,极其
treasure,宝藏
rescue,救援
capable,有能力的
passing,通过
chatter,喋喋不休
result,结果
suffering,痛苦
sisters,姐妹
laid,铺设
governor,州长
guards,守卫
louis,路易
text,文本
literally,字面上地
remove,消除
becoming,变得
performance,表现
stronger,更强
rate,速度
scream,尖叫
desert,沙漠
vehicle,车辆
illegal,非法的
pulling,拉
throwing,投掷
josh,乔什
unbelievable,难以置信
ted,泰德
zero,零
dean,院长
curious,好奇的
sean,肖恩
candy,糖果
bone,骨
tied,捆扎
edge,边缘
load,加载
susan,苏珊
ahh,啊
mountains,山
boom,繁荣
former,以前的
holiday,假期
riding,骑术
scoffs,嘲笑
hundreds,数百个
motherfucker,混蛋
sue,起诉
bags,包
stealing,偷窃
appears,出现
arrive,到达
remains,遗迹
decent,体面的
issues,问题
tip,提示
fail,失败
bride,新娘
pissed,生气
penny,一分钱
claim,宣称
friendship,友谊
desperate,绝望的
flower,花
dramatic,戏剧性
refuse,拒绝
solve,解决
theme,主题
loving,爱
properly,适当地
dragon,龙
mostly,大多
chuck,查克
directly,直接地
surface,表面
cast,投掷
junior,初级
hunting,打猎
silent,沉默的
thou,你
egg,蛋
germany,德国
punch,冲床
africa,非洲
woke,唤醒
intelligence,智力
borrow,借
winning,获胜
falls,下降
popular,受欢迎的
escaped,逃脱了
witch,巫婆
warn,警告
announcer,播音员
champagne,香槟酒
dust,灰尘
kyle,凯尔
someday,有一天
fallen,堕落
stranger,陌生人
presence,在场
tear,眼泪
st.,英石。
internet,互联网
monsieur,先生
therefore,所以
technology,技术
tires,轮胎
toast,烤面包
wise,明智的
clark,克拉克
americans,美国人
notes,笔记
smoking,抽烟
hank,汉克
ls,LS
april,四月
wolf,狼
precious,宝贵的
rooms,房间
coast,海岸
treated,治疗
material,材料
released,发行
uniform,制服
hated,讨厌
considered,经过考虑的
rice,米
exchange,交换
steps,脚步
blake,布莱克
convince,说服
beast,兽
cow,奶牛
files,文件
signs,标志
drag,拖
cab,出租车
hung,悬挂
carried,携带的
ordinary,普通的
successful,成功的
eve,前夕
mistakes,错误
chattering,chat不休
brains,大脑
japan,日本
creature,生物
fourth,第四
separate,分离
cleaning,打扫
california,加利福尼亚
lf,如果
ll,二
shift,转移
elizabeth,伊丽莎白
chicago,芝加哥
exact,精确的
karen,卡伦
goal,目标
expert,专家
served,服务
direct,直接的
score,分数
row,排
marks,分数
twenty,二十
receive,收到
series,系列
section,部分
pilot,飞行员
jackson,杰克逊
darkness,黑暗
thy,你
sale,销售
destiny,命运
cure,治愈
spoken,说
armed,武装
rare,稀有的
helen,海伦
grade,年级
wide,宽的
tower,塔
solution,解决方案
schedule,日程
explosion,爆炸
wheel,车轮
cigarette,香烟
julie,朱丽叶
fruit,水果
blew,吹
victor,胜利者
talks,会谈
sacrifice,牺牲
range,范围
button,按钮
reports,报告
prisoner,囚犯
pie,馅饼
effort,努力
youth,青年
pot,锅
eaten,吃过
taylor,泰勒
knees,膝盖
garage,车库
parking,停車處
ambulance,救护车
staring,凝视
chances,机会
circumstances,情况
sin,罪
gordon,戈登
progress,进步
unusual,异常
county,县
stairs,楼梯
campaign,活动
mon,周一
vision,想象
reporter,记者
equipment,设备
moments,时刻
joey,乔伊
mass,大量的
alien,外星人
trapped,被困
helps,帮助
route,路线
defend,保卫
trace,痕迹
nasty,可恶的
tests,测试
magazine,杂志
rocks,岩石
dump,倾倒
rude,粗鲁的
searching,搜索
clue,线索
connected,连接的
amen,阿们
pushed,推
merry,快乐
zone,区
senior,高级的
closing,关闭
freeze,冻结
emperor,皇帝
incident,事件
snake,蛇
mexico,墨西哥
lily,百合
actor,演员
newspaper,报纸
sentence,句子
greg,格雷格
leading,领导
friendly,友好的
jones,琼斯
chosen,选择
engaged,已订婚的
julia,朱莉娅
charming,迷人
mustn,必须
anger,愤怒
spending,开支
learning,学习
spy,间谍
sharp,锋利的
shadow,阴影
warrant,保证
elevator,电梯
kingdom,王国
ricky,瑞奇
jamie,杰米
squad,队
shoulder,肩膀
wave,海浪
amanda,阿曼达
highness,高度
kinds,种类
fishing,钓鱼
sometime,有时
attitude,态度
sucks,糟透了
negative,消极的
screen,屏幕
workers,工人
bored,无聊的
cameras,相机
similar,相似的
understanding,理解
beeps,哔哔声
chain,链
bull,公牛
gasping,喘着粗气
fully,完全
robin,罗宾
collect,收集
gorgeous,华丽的
morgan,摩根
passion,热情
writer,作家
empire,帝国
international,国际的
curse,诅咒
hire,聘请
bastards,混蛋
puts,推杆
leads,铅
id,ID
blows,打击
sons,儿子
estate,财产
customers,顾客
maggie,劣质煤
gunshot,枪声
i-,我-
device,设备
troops,军队
hug,拥抱
design,设计
movement,移动
thunder,雷
object,目的
loser,失败者
pen,笔
sobbing,抽泣
politics,政治
despite,尽管
alcohol,酒精
climb,爬
clients,客户
conference,会议
provide,提供
marty,马蒂
seek,寻找
witnesses,目击者
earn,赚
trash,垃圾
valley,谷
fashion,时尚
howard,霍华德
episode,插曲
prize,奖
previously,之前
sports,运动的
wanting,想要
debt,债务
wishes,愿望
hitler,希特勒
wire,金属丝
thee,你
circle,圆圈
approach,方法
stock,库存
facts,事实
remembered,记得
percent,百分
normally,通常情况下
tail,尾巴
joined,加入
education,教育
bravo,布拉沃
library,图书馆
rape,强奸
wings,翅膀
growling,咆哮
thrown,扔
tank,坦克
exhales,呼气
authority,权威
current,当前的
failure,失败
nightmare,恶梦
hitting,打
glory,荣耀
knocked,敲
studying,研究
barry,巴里
agency,机构
apple,苹果
border,边界
duck,鸭子
reputation,名声
confidence,信心
yard,院子
beloved,心爱
lack,缺少
actual,实际的
skills,技能
films,电影
mental,精神的
salt,盐
flesh,肉
anne,安妮
secure,安全的
highly,高度
federal,联邦
sand,沙
emotional,情绪化
setting,环境
nothin,没什么
senator,参议员
services,服务
robbery,抢劫
hates,讨厌
fed,喂养
reward,报酬
theater,剧院
johnson,约翰逊
commit,犯罪
patrick,帕特里克
entirely,完全
extraordinary,非凡的
ships,船
opposite,对面的
parties,派对
stands,站立
terry,特里
chat,聊天
events,事件
mummy,木乃伊
bay,湾
slip,滑
disappointed,失望的
settled,定居
begins,开始
andrew,安德鲁
detail,细节
pink,粉色的
fellas,小伙子
accepted,公认
background,背景
garbage,垃圾
panic,恐慌
minds,头脑
belt,腰带
blowing,吹
hollywood,好莱坞
agreement,协议
jackie,杰基
pushing,推动
ability,能力
tiger,老虎
whispering,耳语
culture,文化
saint,圣
jesse,杰西
task,任务
solid,坚硬的
doll,玩具娃娃
district,区
pa,PA
gee,哎呀
custody,保管
ignore,忽略
naturally,自然
useful,有用
attempt,试图
abandoned,弃
cutting,切割
kissed,亲吻
guarantee,保证
barking,叫声
gather,收集
policy,政策
u.s.,我们。
violent,暴力
maid,女佣
embarrassing,尴尬
childhood,童年
wasting,浪费
bow,弓
chick,小鸡
sara,萨拉
disaster,灾难
revolution,革命
online,在线的
f,F
demon,恶魔
heavily,沉重
coincidence,巧合
perform,履行
thin,薄的
terrific,了不起
mac,苹果
crown,王冠
identity,身份
virgin,处女
impressive,感人的
windows,视窗
no-one,没有人
potential,潜在的
guitar,吉他
committee,委员会
dozen,打
delivery,送货
advance,进步
quietly,悄悄
stan,斯坦
teaching,教学
hunter,猎人
latest,最新的
hurting,受伤
swing,摇摆
capital,首都
counting,数数
drew,德鲁
dirt,污垢
whistle,哨
marie,玛丽
hits,命中
doug,道格
deny,否定
urgent,紧迫的
threatened,威胁
behavior,行为
molly,莫莉
mixed,混合
stays,留下来
assure,保证
subtitles,字幕
explanation,解释
wins,胜利
unique,独特的
chasing,追逐
billion,十亿
duke,公爵
production,生产
slave,奴隶
agents,代理商
carol,颂歌
lets,让我们
cruel,残忍的
mask,面具
sally,莎莉
behave,表现
bury,埋葬
massive,大量的
pathetic,可怜的
species,物种
jo,乔
loan,贷款
struggle,斗争
dish,盘子
trusted,值得信赖
jumped,跳了起来
firing,射击
channel,渠道
abby,艾比
stopping,停下来
asks,问
jean,让
swimming,游泳
daily,日常的
basement,地下室
linda,琳达
quarter,四分之一
erm,恩
bound,边界
navy,海军
article,文章
guide,指导
accused,被告
transfer,转移
guts,胆量
quality,质量
fella,小伙子
roman,罗马
greater,更大
damned,该死的
couch,长椅
cheer,欢呼
vegas,拉斯维加斯
shoe,鞋
title,标题
shy,害羞的
punishment,惩罚
los,洛斯
clicks,点击
you,你
closet,壁橱
bye-bye,再见
fever,发烧
coward,懦夫
flash,闪光
impressed,印象深刻
bruce,布鲁斯
siren,警笛
prisoners,囚犯
sides,边
bowl,碗
katie,凯蒂
supply,供应
sensitive,敏感的
hopefully,希望
rolling,滚动
roy,罗伊
dollar,美元
tone,语气
voices,声音
cheating,作弊
confess,承认
demand,要求
museum,博物馆
unknown,未知
drama,戏剧
suspicious,可疑的
adult,成人
todd,托德
frightened,受惊
warned,警告
steady,稳定的
kills,杀人
crossed,交叉
lou,娄
particularly,特别
sandwich,三明治
laws,法律
joint,联合的
bullets,子弹
package,包裹
trained,训练有素
thursday,周四
boots,靴子
possibility,可能性
albert,阿尔伯特
civil,民事
june,六月
germans,德国人
baseball,棒球
express,表达
miserable,悲惨的
tuesday,周二
parker,帕克
lion,狮子
joseph,约瑟夫
refused,拒绝
shine,闪耀
assault,突击
hong,洪
jokes,笑话
breaks,休息
argue,争论
you-,你-
trail,踪迹
option,选项
recall,记起
mighty,强大
collection,收藏
oliver,奥利弗
wilson,威尔逊
accent,口音
believes,相信
decisions,决定
embarrassed,尴尬的
mobile,移动的
customer,顾客
terribly,可怕
sec,秒
charity,慈善机构
considering,考虑
pussy,猫
donna,唐娜
protecting,保护
flag,旗帜
kidnapped,绑架
italy,意大利
balance,平衡
creatures,生物
nuclear,核
wallet,钱包
shout,喊
vincent,文森特
entered,输入
impression,印象
angela,安吉拉
jay,周杰伦
degrees,学位
favour,恩宠
reaction,反应
network,网络
jessica,杰西卡
version,版本
concert,音乐会
gear,齿轮
singer,歌手
diamond,钻石
defeat,打败
steven,史蒂文
lane,车道
blast,爆破
wounded,受伤
anytime,任何时候
partners,伙伴
ages,年龄
charlotte,夏洛特
ceremony,仪式
league,联盟
bars,酒吧
orange,橙子
specific,具体的
conditions,状况
plastic,塑料
crisis,危机
fifth,第五
term,学期
self,自己
offering,奉献
bud,芽
suffered,受苦
reported,报告
commissioner,专员
rip,RIP
mysterious,神秘
entrance,入口
messed,混乱
tunnel,隧道
designed,设计
neighbor,邻居
aboard,船上
sweat,汗
justin,贾斯汀
ghosts,鬼
crimes,犯罪
costs,费用
deserves,应得的
dreaming,做梦
bust,摔碎
teddy,泰迪熊
kong,孔
messages,消息
enjoying,享受
afterwards,然后
comfort,舒适
mason,石匠
surrender,投降
gym,健身房
kitty,猫咪
crush,压碎
yup,是的
arranged,布置
suits,西装
pee,撒尿
stress,压力
cave,洞穴
wing,翅膀
jordan,约旦
arrange,安排
comrade,同志
noble,高贵
tricks,技巧
betty,贝蒂
launch,发射
legend,传奇
mix,混合
golf,高尔夫球
imagination,想像力
fox,狐狸
kissing,接吻
butter,黄油
tax,税
gross,总的
edward,爱德华
texas,德克萨斯州
insist,坚持
marcus,马库斯
classic,经典的
selfish,自私
skull,颅骨
frankie,弗兰基
shown,显示
bat,蝙蝠
survived,幸存
print,打印
champion,冠军
bills,账单
therapy,治疗
lifetime,寿命
throughout,自始至终
a.m.,是。
nathan,内森
toward,走向
sauce,酱
experiment,实验
margaret,玛格丽特
describe,描述
ross,罗斯
grass,草
cheat,欺骗
attend,出席
homework,家庭作业
lewis,刘易斯
betrayed,出卖了
servant,仆人
cap,帽
tyler,泰勒
practically,几乎
catherine,凯瑟琳
steel,钢
wipe,擦拭
burns,烧伤
generation,一代
cabin,舱
financial,金融的
industry,行业
bond,纽带
sheep,羊
scientists,科学家们
beaten,殴打
heck,哎呀
deck,甲板
fans,粉丝
script,脚本
brand,品牌
degree,程度
painful,痛苦
coughing,咳嗽
religion,宗教
cats,猫
stephen,斯蒂芬
influence,影响
fuel,燃料
drawing,绘画
uh-oh,嗯
rabbit,兔子
exercise,锻炼
attractive,吸引人的
touching,接触
virus,病毒
realise,意识到
torture,酷刑
blessed,祝福
plain,清楚的
rebecca,丽贝卡
recent,最近的
barbara,芭芭拉
footsteps,脚步
sacred,神圣
removed,删除
pretending,假装
wasted,浪费
jewish,犹太人
goodnight,晚安
robot,机器人
crystal,水晶
confirm,确认
lad,小伙子
mile,英里
division,分配
scratch,划痕
reminds,提醒
walks,散步
ending,结尾
russia,俄罗斯
contest,比赛
valuable,有价值的
distant,遥远
dumped,倾倒
motion,运动
electricity,电
centre,中心
murders,谋杀
tina,蒂娜
jeremy,杰里米
seal,海豹
standard,标准
ellen,艾伦
wore,穿着
surrounded,包围
struck,击中
inform,通知
gentle,温和的
status,地位
purse,钱包
prints,印刷
players,球员
charged,带电
begging,乞讨
delivered,发表
kenny,肯尼
buck,巴克
nina,妮娜
construction,建造
confirmed,确认的
confession,认罪
trigger,扳机
cells,细胞
frankly,坦率地说
ali,阿里
exit,出口
response,回复
cancel,取消
argument,争论
principal,主要的
turkey,火鸡
lucas,卢卡斯
clinic,诊所
neighbors,邻居
vice,副
toy,玩具
hannah,汉娜
everyday,每天
generous,慷慨的
gain,获得
idiots,白痴
holly,冬青
enjoyed,喜欢
jungle,丛林
link,关联
underground,地下
smiling,微笑
mistress,情妇
teams,团队
product,产品
beef,牛肉
whispers,耳语
religious,宗教
presents,礼物
identify,确认
chip,芯片
surveillance,监视
carlos,卡洛斯
vampire,吸血鬼
routine,常规
uses,用途
michelle,米歇尔
underneath,下
systems,系统
temperature,温度
waves,波浪
tribe,部落
brad,布拉德
deputy,副
sophie,索菲
headquarters,总部
equal,平等的
phones,电话
ken,肯
reckon,估计
related,有关的
incredibly,令人难以置信
chill,寒意
spit,吐
tracks,轨道
oscar,奥斯卡
makeup,化妆品
bug,漏洞
sounded,听起来
spirits,精神
nerve,神经
divorced,离婚
stake,赌注
port,港口
doorbell,门铃
worries,担心
nephew,侄子
miller,磨坊主
units,单位
just-,只是-
proceed,继续
landing,降落
traitor,叛徒
outfit,全套服装
chloe,克洛伊
bail,保释
fields,字段
patience,耐心
recording,记录
foolish,愚蠢
loaded,加载
tokyo,东京
davis,戴维斯
costume,戏服
wayne,韦恩
injured,受伤
somethin,某些人
ian,伊恩
pet,宠物
cage,笼
digging,挖掘
spain,西班牙
seats,座位
awkward,尴尬的
cleaned,清洁
pattern,图案
filthy,污秽
visiting,来访
jews,犹太人
answering,回答
concentrate,集中
someplace,某个地方
citizens,公民
aim,目的
nancy,南希
affairs,事务
thick,厚的
sport,运动
basic,基本的
electric,电的
pleasant,令人愉快的
cliff,悬崖
nail,指甲
russell,罗素
environment,环境
western,西
average,平均的
ease,舒适
raped,强奸
interrupt,打断
judy,朱迪
satisfied,使满意
beep,嘟
starving,饥饿
documents,文件
anniversary,周年纪念日
beth,贝丝
election,选举
warrior,战士
forth,向前
fetch,拿来
banks,银行
placed,放置
timing,定时
stones,石头
complex,复杂的
frozen,冷冻
replace,代替
prayer,祷告
skip,跳过
angeles,安吉利斯
guilt,有罪
tune,调
woo,哇
actions,动作
conscience,良心
officially,正式
martha,玛莎
machines,机器
smaller,较小
determined,决定
blown,吹
hail,冰雹
unhappy,不开心
booth,展位
pour,倒
berlin,柏林
cleared,清除
packed,包装
wrap,裹
randy,兰迪
behalf,代表
reasonable,合理的
trunk,树干
homes,房屋
festival,节日
tradition,传统
cigarettes,香烟
beside,旁
harvey,哈维
motive,动机
beings,生物
bishop,主教
dealer,经销商
defendant,被告
backup,备份
wounds,伤口
ouch,哎哟
ann,安
nearby,附近
drank,喝
effects,效果
jonathan,乔纳森
dennis,丹尼斯
benefit,益处
adventure,冒险
territory,领土
apology,道歉
dylan,迪伦
unlike,与众不同
owns,拥有
boxes,盒子
thus,因此
clay,黏土
developed,发达
busted,破碎
pipe,管道
gray,灰色的
goods,商品
favourite,最喜欢的
salad,沙拉
loyal,忠诚
atmosphere,气氛
eva,伊娃
freaking,怪胎
dropping,下降
strangers,陌生人
mouse,老鼠
downtown,市中心
francisco,弗朗西斯科
heroes,英雄
pit,坑
rotten,烂
paradise,天堂
meantime,与此同时
jess,杰西
organization,组织
hills,丘陵
exam,考试
cock,公鸡
fairy,仙女
earl,伯爵
comment,评论
activity,活动
frame,框架
knight,骑士
testing,测试
habit,习惯
shelter,庇护所
flow,流动
jennifer,詹妮弗
holes,孔
prevent,防止
anthony,安东尼
lend,借
cooper,库珀
figures,人物
boston,波士顿
sample,样本
strip,条
landed,登陆
buzzing,嗡嗡作响
monk,僧
slightly,轻微地
produce,生产
annoying,恼人的
judgment,判断
laundry,洗衣店
ron,罗恩
lousy,糟糕
souls,灵魂
existence,存在
belly,腹部
tries,尝试
foster,促进
returning,返回
answered,回答
ward,病房
plants,植物
actress,演员
chairman,主席
individual,个人
hopes,希望
tattoo,纹身
fence,栅栏
sink,下沉
punk,朋克
confident,自信的
yay,耶
mistaken,错误
limit,限制
bothering,困扰
st,英石
uncomfortable,不舒服
wednesday,周三
gifts,礼物
policeman,警察
precisely,恰恰
lawyers,律师
greek,希腊语
merely,仅仅
criminals,罪犯
underwear,内衣
hoped,希望
earned,赢得了
reveal,揭示
appeared,出现
derek,德里克
heavens,天
personality,性格
batman,蝙蝠侠
virginia,弗吉尼亚
wives,妻子
colour,颜色
worker,工人
pope,教皇
instructions,指示
intelligent,聪明的
worrying,令人担忧
vince,文斯
cried,哭了
traveling,旅行
bells,铃铛
